ヒット文字列,出現数,法令名,XML_Num属性,タグ名,文脈スニペット
九九・八パ,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,4_1_11_3,Sentence,使用することができる液体であって、純度が九九・八パーセントを超え、かつ、径が二〇〇マイクロ
二百二十一番,2,公職選挙法,510_1,Sentence,で、千百五十六番地、千二百十九番地及び千二百二十一番地を除く。）、越野、南陽台一丁目、南陽台
一甲,2,船舶防火構造規則,2_1_10,Sentence,の隔壁で区分された区域であつて、いかなる一甲板上においても当該区域の平均の長さ及び幅
八米,2,農林水産省組織規則,1_6,Sentence,郡」を「玖珠郡」に改める部分並びに別表第八米代東部の項の改正規定
三十一）,2,輸出貿易管理令,,Sentence,しくはその附属装置又はこれらの部分品（（三十一）に掲げるものを除く。）
八五・三六項,2,関税定率法,,Sentence,動素子又は電源供給若しくは電源制御用の第八五・三六項若しくは第八五・四二項の物品を有する。発
四五六、,2,戦傷病者戦没者遺族等援護法,2_1,Sentence,」とあるのは「一〇九、七五〇円（」と、「四五六、四〇〇円」とあるのは「四一三、三五〇円」
千二百五十万,2,阪神・淡路大震災に対処するための特別の財政援助及び助成に関する法律,67_4,Sentence,る者を除く。）」と、「保険価額の合計額が千二百五十万円」とあるのは「阪神・淡路大震災関連小口
九十万,2,昭和六十三年度における私立学校教職員共済組合からの旧法の規定による年金等の額の改定に関する政令,4_3,Sentence,達した日の属する月の翌月分以後、その額を九十万八千百円に改定する。
三叉,2,家畜伝染病予防法施行規則,,Rt,を含む延髄を中性緩衝ホルマリンで固定し、三叉神経脊髄路核、孤束核及び迷走神経背側核が
六極,2,エネルギーの使用の合理化及び非化石エネルギーへの転換等に関する法律施行規則,92_25_1_5,Sentence,極数が二極、四極又は六極のもの
二十五体,2,計量法施行令,2_1_17_5,Sentence,度計のうち、計ることができる最高の濃度が二十五体積百万分率以上のもの
八三・〇五項,2,関税定率法,,Sentence,、びよう、画びよう、波くぎ、またくぎ（第八三・〇五項のものを除く。）その他これらに類する製品
七十六（,2,法人税法施行令,155_70_2,Sentence,対象租税額をいう。次条及び第百五十五条の七十六（国内グループ調整後対象租税額が零を下回る
四〇六・一Ｍ,2,無線設備規則,45_2_1,Sentence,Ｇ一Ｂ電波又はＧ一Ｄ電波四〇六ＭＨｚから四〇六・一ＭＨｚまで、Ａ三Ｘ電波一二一・五ＭＨｚ並び
一九秒,2,港湾法施行令,,Sentence,（１１８）　宮崎三角点（北緯三四度三〇分一九秒東経一三四度九分二三秒）から二四二度一五
二十頭,2,第一種動物取扱業者及び第二種動物取扱業者が取り扱う動物の管理の方法等の基準を定める省令,2_1_2,Sentence,限る。）は除く。）の上限は、犬については二十頭、猫については三十頭とし、このうち、繁殖
五十一度,2,漁業の許可及び取締り等に関する省令,,Sentence,（９９）　北海道茅部郡鹿部町出来澗岬突端五十一度の線と同道伊達市徳舜暼山頂上と同道函館市
六五キ,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,6_1_17_2,Sentence,注入する場合において、ビームエネルギーが六五キロ電子ボルト以上、かつ、ビーム電流が四五
二〇ワ,2,無線設備規則,49_6_10_2_1_1,Sentence,チャネル間隔が五ＭＨｚのものにあつては、二〇ワット以下であること。
四〇、,2,輸出貿易管理令,2_1_1_8,Sentence,ら二一の三まで、二五、三五から三七まで、四〇、四一、四四及び四五の項の中欄に掲げる貨物
三粍,2,軌道建設規程,26_1_3,Sentence,主トシテ溝軌条ヲ使用スル線路ニ在リテハ十三粍以上二十五粍以下
五百戸,2,公営住宅法,8_1_1,Sentence,た場合で、その滅失した戸数が被災地全域で五百戸以上又は一市町村の区域内で二百戸以上若し
〇ル,2,薬局等構造設備規則,3_1_4,Sentence,医薬品を通常交付する場所は、六〇ルツクス以上の明るさを有すること。
二千百円,2,国家公務員共済組合法施行令,11_2,Sentence,済令第十一条の三の五第三項第一号中「六万二千百円。ただし、高額療養費多数回該当の場合にあ
〇形,2,エネルギーの使用の合理化及び非化石エネルギーへの転換等に関する法律施行規則,92_2_6,Sentence,四〇形未満の直管形蛍光ランプを使用する蛍光灯器
二掲,2,人事院規則九―八（初任給、昇格、昇給等の基準）,4_1,Sentence,「旧等級」という。）に対応する職務の級が二掲げられている場合の下段に掲げられているも
一三二）,2,海洋汚染等及び海上災害の防止に関する法律施行令,29,Sentence,ジクロロジフルオロエタン（別名ＨＣＦＣ―一三二）
三十部,2,国立国会図書館法,24_1,Sentence,供するために、館長の定めるところにより、三十部以下の部数を直ちに国立国会図書館に納入し
四九〇、,2,地方公務員等共済組合法施行令,53_12_2_1,Sentence,定俸給の額」と、「この表」とあるのは「、四九〇、八五〇円を超える場合においては当該仮定俸
〇・〇二一四三七〇七四五三一を,2,国民健康保険の調整交付金等の交付額の算定に関する省令,5_4,Sentence,に係る基礎控除後の総所得金額等の合計額に〇・〇二一四三七〇七四五三一を乗じて得た額との合計額が十七万円を超える
五千,2,農産物検査法施行規則,15_3_1_4,Sentence,一万五千
六郷,2,公職選挙法,464_10,Sentence,大田区六郷特別出張所管内
四秋,2,農林水産省組織規則,1_6,Sentence,日田郡」を「玖珠郡」に改める部分、別表第四秋田統計・情報センターの項及び山口統計・情
十一・五ト,2,道路運送車両の保安基準,4_2_1,Rt,自動車のうち告示で定めるものにあつては、十一・五トン）を超えてはならない。
四・〇パ,2,食品表示基準,,Sentence,、全糖又は全窒素の含有率（それぞれ酸度を四・〇パーセントに換算したときの含有率をいう。以
〇七」,2,健康保険法施行規則,3_2,Sentence,「千分の〇・一」とあるのは、「千分の〇・〇七」とする。
十六・五以,2,人事院規則九―四〇（期末手当及び勤勉手当）,13_2_1_2_3,Sentence,以下）、十二月に支給する場合には百分の四十六・五以下（特定管理職員にあつては、百分の五十三
五石,2,厚生労働省組織規則,1,Sentence,ただし、別表第四石川の款及び別表第五石川の款の改正規定は、同年十一月十一日から
三鹿,2,農林水産省組織規則,1,Sentence,ただし、別表第三鹿児島農政事務所の項管轄区域の欄の改正規定
〇・二五箱,2,農業保険法施行規則,8_1_3,Sentence,繭の類区分ごとの蚕種の掃立量のいずれかが〇・二五箱を下回らず二箱を超えない範囲内で定款で定
八十八万,2,地方交付税法,4_2_5,Sentence,は同項に規定する合算額から四百八十一億千八十八万円をそれぞれ減額する。
百八十二・五以,2,人事院規則九―四〇（期末手当及び勤勉手当）,13_1_1_1,Sentence,にあつては、百分の百五十・五以上百分の三百八十二・五以下）
・〇〇〇一ナ,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,9_1_11_5,Sentence,一〇ヘルツを超える周波数における感度が〇・〇〇〇一ナノテスラ未満のもの
千間,2,水質汚濁防止法施行令,,Sentence,尾及び字西奥山に限る。）、大字日出生（字千間原、字人見嶽、字伊の伏、字堤山、字堤、字
三百十三番,2,公職選挙法,322_3,Sentence,地までに限る。）、在家町、大字木曽呂（千三百十三番地、千三百三十六番地、千三百四十一番地、
三十三、,2,道路整備特別措置法施行令,15_1,Sentence,九の三、第四十八条の三十二、第四十八条の三十三、第四十八条の四十九第二号、第四十八条の六
八二東,2,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（４６６）　北緯二四度一〇分二四秒・五四八二東経一四八度七分一三秒・〇六二三の点
二百七十二万,2,地方交付税法,4_2_4,Sentence,同項の規定による額から千三百八十二億四千二百七十二万五千円を、令和十三年度から令和二十六年度
〇兆,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,6_1_1_1,Sentence,平方センチメートル当たり五〇兆個以上となるもの（ＭＩＳ形のものは除く。
三三〇二）,2,環境省関係浄化槽法施行規則,6_1,Sentence,尿浄化槽の処理対象人員算定基準（ＪＩＳＡ三三〇二）」に定めるところによるものとする。この場
・二・二・三・三・四・四・五・五・六・六・七・七・八・八・八―,2,化学物質の審査及び製造等の規制に関する法律施行令,3,Sentence,医薬品の製造に使用する一―ブロモ―一・一・二・二・三・三・四・四・五・五・六・六・七・七・八・八・八―ヘプタデカフルオロオクタン（別名ペルフル
四・四」,2,地方法人税法施行令,1_1,Sentence,規定並びに同条第七項の改正規定（「百分の四・四」を「百分の十・三」に改める部分に限る。）
六・七海,2,漁業の許可及び取締り等に関する省令,,Sentence,の境界にある知床岬突端とを結ぶ線上同突端六・七海里の点
一郎,2,外包硬固ナル弾丸ニシテ其ノ外包中心ノ全部ヲ蓋包セス若ハ其ノ外包ニ截刻ヲ施シタルモノノ如キ人体内ニ入テ容易ニ開展シ又ハ扁平ト為ルヘキ弾丸ノ使用ヲ各自ニ禁止スル宣言書,11,Sentence,本野一郎印
〇テ,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,14_1_2_2,Sentence,もの（周波数が一五〇テラヘルツ超三七〇テラヘルツ未満のものをいう。）のうち、可視
七十四番,2,独立行政法人国際交流基金の設立に伴う関係政令の整備及び経過措置に関する政令,1,Sentence,リア共和国ローマ市アントニオグラムシ通り七十四番地　所在
・二と,2,国家公務員共済組合法施行令,4_2,Sentence,項に規定する政令で定める率は、百分の十七・二とする。
三十三・一、,2,地方交付税法,6_1,Sentence,所得税及び法人税の収入額のそれぞれ百分の三十三・一、酒税の収入額の百分の五十、消費税の収入額
〇・〇二四に,2,金融商品取引業等に関する内閣府令,175_1_2_2,Sentence,業年度における当該総取引契約金額の万分の〇・〇二四に相当する金額
八塩,2,ダイオキシン類対策特別措置法施行規則,,Sentence,八塩化ジベンゾフラン
九桑,2,財務省組織規則,1_3,Sentence,第二条中財務省組織規則別表第九桑名の項の改正規定
二在,2,船員保険法施行規則,21_1,Sentence,項ノ指定都市二在リテハ区長又ハ総合区長トス第九号ヲ除キ以
二千八百度,2,火災報知設備の感知器及び発信機に係る技術上の規格を定める省令,17_2,Sentence,この場合において、減光率は、光源を色温度二千八百度の白熱電球とし、受光部を視感度に近いもの
五二一、,2,有線一般放送の品質に関する技術基準を定める省令,10_1_1,Sentence,四九一、四九七、五〇三、五〇九、五一五、五二一、五二七、五三三、五三九、五四五、五五一、
九土,2,財務省組織規則,1,Sentence,町」に改める部分及び博多の項並びに別表第九土浦の項、下館の項、氏家の項、柏の項、大垣
〇三（,2,計量法施行規則,10_1_2_2,Sentence,ホッパースケールに係る日本産業規格Ｂ七六〇三（二〇二四）附属書に掲げる軽微な修理
二六二）,2,海洋汚染等及び海上災害の防止に関する法律施行令,53,Sentence,クロロジフルオロプロパン（別名ＨＣＦＣ―二六二）
・〇二五四四〇九三二九五〇」,2,国民健康保険の調整交付金等の交付額の算定に関する省令,6_1,Sentence,「一万四千二百二十二円二十二銭」と、「〇・〇二五四四〇九三二九五〇」とあるのは「〇・〇二五三一五〇九八三四七
三三〇平,2,水質汚濁防止法施行令,9,Sentence,む者に対し卸売するためのものにあつては、三三〇平方メートル）未満のものを除く。）に設置さ
九十六パ,2,満載喫水線規則,4_1,Sentence,該喫水線上の船尾外板の後端面までの距離の九十六パーセント又は当該交点から当該喫水線上のだ
二千百七十メ,2,港則法施行規則,,Sentence,五十一　金城信号所から三百二十三度三十分二千百七十メートルの地点
二十一海,2,漁業の許可及び取締り等に関する省令,,Sentence,（１７）　北海道稚内市時前埼突端七十五度二十一海里の点
〇・〇〇三を,2,普通交付税に関する省令,9_1,Sentence,正Ⅱに用いる密度は、入湯税納税義務者数に〇・〇〇三を乗じて得た数（整数未満の端数があるときは
〇一二四号,2,揮発油等の品質の確保等に関する法律施行規則,,Sentence,発法）で定める試験方法又は日本産業規格Ｋ〇一二四号（高速液体クロマトグラフィー通則）その他
三付,2,復興特別法人税に関する省令,1_4,Sentence,国税庁長官は、別表一から別表三付表までの各表の書式について必要があるとき
四十七番,2,公職選挙法,475_1,Sentence,、三十番十号、四十四番から四十六番まで、四十七番十八号から四十七番四十八号まで及び四十七
千五百度,2,廃棄物の処理及び清掃に関する法律施行規則,12_7_14_2,Sentence,は石綿含有産業廃棄物の温度を速やかに摂氏千五百度以上とし、これを保つこと。
千位,2,無線局運用規則,3_2,Sentence,ＮＤは，航空移動業務において，端数のない千位の数字又はＨＵＮＤＲＥＤの語を使用する数
八五・二二項,2,関税定率法,,Sentence,ンド（取り付けられていないものに限る。第八五・二二項参照）を除くほか、この類に属する。
百フ,2,労働基準法施行規則,,Sentence,２　上欄の業務のうち、百フオーン以上の騒音にさらされるものにあつて
二十五ヘ,2,環境影響評価法施行令,,Sentence,の規模の変更の事業（埋立処分場所の面積が二十五ヘクタール以上三十ヘクタール未満増加するも
〇・五デ,2,無線設備規則,49_9_1_1_6,Sentence,ける送信装置の隣接チャネル漏えい電力は、〇・五デシベル以下であること。
二・五％,2,関税定率法,,Sentence,）　銅以外の元素の含有量の合計が全重量の二・五％を超えるもの
四十五人,2,防衛医科大学校の編制等に関する省令,4_3,Sentence,において「技官候補看護学生」という。）は四十五人を基準とする。
三エ,2,食品衛生法施行規則,115,Sentence,クエン酸三エチル
一独,2,独立行政法人の組織、運営及び管理に係る共通的な事項に関する政令,5_1,Sentence,管理に係る共通的な事項に関する政令別表第一独立行政法人勤労者退職金共済機構の項の規定
一四二Ｍ,2,無線設備規則,57_2_2_1,Sentence,波帯変調方式の無線局の無線設備であつて、一四二ＭＨｚを超え一七〇ＭＨｚ以下又は三三五・四
七後,2,全国健康保険協会の財務及び会計に関する省令,11_2,Sentence,協会は、法第七条の二十七後段の規定により事業計画又は予算の変更の認
四ｇ,2,麻薬及び向精神薬取締法施行規則,,Sentence,二・四ｇ
三二キ,2,放送法施行規則,2,Sentence,載された多重フレームの番号、標本化周波数三二キロヘルツ又は四八キロヘルツの場合の音声チ
一三度,2,海上交通安全法施行令,3_21,Sentence,メートルの地点まで引いた線、同地点から二一三度四、九〇〇メートルの地点まで引いた線、同
一四八の,2,輸出貿易管理令,1,Sentence,〇三の項及び一二四の項の改正規定、同表の一四八の二の項を削る改正規定、同表の一六六の項の
〇・二ナ,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,5_1_8_2,Sentence,できる最大の測定レンジにおいて、分解能が〇・二ナノメートル以下のもの
二・二五に,2,農業の担い手に対する経営安定のための交付金の交付に関する法律施行規則,11_2_6_1,Sentence,積立金の額が、当該積立基準収入額の百分の二・二五に相当する額以上百分の四・五に相当する額未
三百三十三度,2,漁業の許可及び取締り等に関する省令,,Sentence,（４９）　青森県西津軽郡深浦町艫作埼突端三百三十三度三十分一・一海里の点
九四の,2,都市再生緊急整備地域及び特定都市再生緊急整備地域を定める政令,1_1,Sentence,二分三四秒・九二東経一三九度四六分〇秒・九四の地点まで、同地点から北緯三五度三二分三八
二労,2,労働基準法,39_2,Sentence,二労働日
五〇テ,2,関税定率法,,Sentence,その他のポリアミドのもの（構成する単糸が五〇テックス以下のものに限る。）
三千五百億,2,平成七年度における財政運営のための国債整理基金に充てるべき資金の繰入れの特例等に関する法律,9_1,Sentence,入への繰入れをするほか、同特別会計から、三千五百億円を限り、一般会計に繰り入れることができ
二二〇八二四,2,独立行政法人医薬品医療機器総合機構法施行規則,73,Sentence,ロキシプロピルメチルセルロースフタレート二二〇八二四
一ず,2,船舶救命設備規則,90_1_5,Sentence,手動で格納台から一ずつ離脱できるように積み付けること。
五ポ,2,食品表示基準,35_1_7,Sentence,ＩＳＺ八三〇五に規定する五・五ポイントの活字以上の大きさの文字とすること
一七六の,2,輸出貿易管理令,1,Sentence,ただし、別表第一の一一、七九、一〇九及び一七六の項の改正規定並びに同表の二〇一の二の項の
〇三〇二・九一号,2,関税定率法,,Sentence,コフタルムス科又はこけびらめ科のもの。第〇三〇二・九一号から第〇三〇二・九九号までの食用の魚のく
三刀,2,一般国道の路線を指定する政令,1_1,Sentence,三次市　島根県飯石郡赤来町　同郡三刀屋町　同県大原郡木次町　同県八束郡宍道町
三岐,2,特定外来生物による生態系等に係る被害の防止に関する法律施行令,,Sentence,イ　三岐腸目
一七〇平,2,公立学校施設災害復旧費国庫負担法施行令,1_1,Sentence,斜路を設けるものにあつては、当該面積に、一七〇平方メートルに傾斜路を設ける階の数（その数
三〇・〇六項,2,関税定率法,,Sentence,ットにしてあるかないかを問わない。）（第三〇・〇六項のものを除く。）並びに認証標準物質
一五・五ミ,2,電気用品安全法施行令,,Sentence,電灯器具（口金のない電球又は受金の内径が一五・五ミリメートル以下のソケットを有するものに限
八八、,2,独立行政法人日本学生支援機構法施行令,1_4,Sentence,規定にかかわらず、その年当たりの合計額が八八、〇〇〇円を超えない額の範囲内で学校等の種
〇六・九二号,2,関税定率法施行令,57_1_13,Sentence,法の別表第七六〇六・一二号の一及び第七六〇六・九二号の一に掲げるアルミニウムの板、シート及び
二一〇六・九〇号,2,関税定率法施行令,70_1,Sentence,及びグリセリン脂肪酸エステルとし、同表第二一〇六・九〇号の二の（二）のＥの（ｂ）のハの（ロ）のⅡ
二八・四二項,2,関税定率法,,Sentence,の錯シアン酸塩（無機塩基のものに限る。第二八・四二項参照）
二百五十人,2,防衛施設周辺の生活環境の整備等に関する法律施行規則,3_2_3,Sentence,一平方キロメートル当たり千五百人以上二千二百五十人未満（町村にあつては、二百人以上三百人未
五十丁,2,財務省組織規則,,Sentence,ノ里、上新城石名坂、上新城保多野、上新城五十丁、上新城中、上新城道川、金足黒川、金足片
〇二・二〇号,2,関税定率法,,Sentence,（３）　別表第四三〇二・一一号から第四三〇二・二〇号まで又は第四三〇二・三〇号の二に掲げる物
二・〇二五Ｍ,2,無線設備規則,45_2_1,Sentence,にＦ一Ｄ電波一六一・九七五ＭＨｚ及び一六二・〇二五ＭＨｚを使用する衛星非常用位置指示無線標識
二一一二（,2,エネルギーの使用の合理化及び非化石エネルギーへの転換等に関する法律施行規則,92_12_1,Sentence,ＪＩＳＳ二一〇九（二〇一九）又はＪＩＳＳ二一一二（二〇一九）の対象となるもの以外のもの
二・〇ギ,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,7_1_3_7,Sentence,置であって、転送されるデータの転送速度が二・〇ギガバイト毎秒を超えるもの
五指,2,未帰還者留守家族等援護法,1_1_1,Sentence,七　一手の五指又はおや指及びひとさし指をあわせ四指を失
四・四平,2,障害者の日常生活及び社会生活を総合的に支援するための法律に基づく障害福祉サービス事業の設備及び運営に関する基準,4_1,Sentence,練施設及び精神障害者授産施設については「四・四平方メートル」と、知的障害者更生施設、知的
七六東,2,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（２４３）　北緯二七度一八分一七秒・〇〇七六東経一四八度四七分二八秒・九〇八五の点
五十八分,2,海洋水産資源開発促進法施行令,,Sentence,北緯四十五度三十一分十七秒東経百四十一度五十八分二十九秒の点、北緯四十五度五分四十九秒東
百馬,2,航空機製造事業法施行規則,5_1_3_1,Sentence,海面上における公称馬力が五百馬力未満のピストン発動機
六四分,2,昭和四十二年度以後における地方公務員等共済組合法の年金の額の改定等に関する法律,1_1,Sentence,ないときは、その仮定給料年額に一・八八九六四分の一・九二八七六を乗じて得た額（その額に
五熊,2,厚生労働省組織規則,1,Sentence,本の項管轄区域の欄の改正規定、別表第五熊本の款宇城の項位置の欄及び管轄区域の欄の
九旭,2,財務省組織規則,2,Sentence,改正後の財務省組織規則別表第九旭川東の項の規定は、平成二十一年十月二十六
四一号,2,輸出貿易管理令別表第二の三の規定に基づき貨物を定める省令,128_1_22,Sentence,関税率表第八四・二六項並びに第八四三一・四一号、第八四三一・四二号及び第八四三一・四九
八岐,2,厚生労働省組織規則,1,Sentence,表第八岐阜の款岐阜の項管轄区域の欄の改正規定並び
三十八人,2,財務省組織規則,405_3,Sentence,て充てられるものとする。）及び監督評価官三十八人以内を置く。
二・五ワ,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,9_1_10_4,Sentence,であって、平均出力又は持続波の定格出力が二・五ワットを超えるもの
七・〇五項,2,関税定率法,,Sentence,原動機付きシャシ（第八七・〇一項から第八七・〇五項までの自動車用のものに限る。）
〇・四海,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,23_3_2_5,Sentence,ることができるように設計したもののうち、〇・四海里以下の位置精度を提供するソナー又は重力
四一・〇一項,2,関税定率法,,Sentence,うちなめしを終えてないものを含まない（第四一・〇一項から第四一・〇三項まで参照）。
一賃,2,労働基準法,4,ArticleCaption,（男女同一賃金の原則）
百四十七度,2,船舶安全法施行規則,1_6_15,Sentence,まで引いた線、同島東端から久高島灯台から百四十七度二千五百メートルの地点まで引いた線、同地
五紙,2,職業能力開発促進法施行規則,4_1,Sentence,る訓練を受けている者に対して新規則別表第五紙器・段ボール箱製造科の項教科の欄に規定す
十九（,2,独立行政法人水資源機構法施行令,39_1,Sentence,県に係るものの額を控除した額）に百分の六十九（当該都道府県が、当該新築又は改築について
一・二ミ,2,食品表示基準,,Sentence,に成形したものにあっては「マカロニ」と、一・二ミリメートル以上の太さの棒状又は二・五ミリ
三一秒,2,港則法施行令,,Sentence,三角点（五三メートル）（北緯三三度五五分三一秒東経一三四度四三分二〇秒）まで引いた線、
六五〇平,2,水質汚濁防止法施行令,10,Sentence,用に供する洗車施設（屋内作業場の総面積が六五〇平方メートル未満の事業場に係るものを除く。
五七度,2,船舶油濁等損害賠償保障法施行規則,4_1_3,Sentence,県和合良島島頂まで引いた線、同島頂から二五七度二、九四〇メートルの地点まで引いた線、同
五十四分,2,港則法施行規則,,Sentence,（北緯四十二度二十分五十六秒東経百四十度五十四分五十八秒）から港界線屈曲点まで引いた線、
三百十三号,2,農山漁村滞在型余暇活動のための基盤整備の促進に関する法律施行規則,16_1_3,Sentence,号）、水産資源保護法（昭和二十六年法律第三百十三号）若しくは遊漁船業の適正化に関する法律（
三百二十メ,2,港則法施行規則,,Sentence,十六　金城信号所から百六十六度三十分二千三百二十メートルの地点
十九平,2,住宅地区改良法施行令,11_1,Sentence,においては、共用部分の床面積を除く。）が十九平方メートル以上八十平方メートル以下の改良
六ｆ,2,特定物質等の規制等によるオゾン層の保護に関する法律施行令,,Sentence,六ｆａ）
・八〇号,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,14_2_1_5,Sentence,関税率表第九〇一四・二〇号又は第九〇一四・八〇号に該当するもの
七一）,2,海洋汚染等及び海上災害の防止に関する法律施行令,54,Sentence,クロロフルオロプロパン（別名ＨＣＦＣ―二七一）
三十五）,2,輸出貿易管理令,,Sentence,であつて、ベローズシールを用いたもの（（三十五）及び三の項の中欄に掲げるものを除く。）
一宇,2,平成十五年等における特定地域に係る激甚災害及びこれに対し適用すべき措置の指定に関する政令,1_1_1,Sentence,徳島県勝浦郡上勝町、麻植郡美郷村、美馬郡一宇村及び木屋平村並びに三好郡西祖谷山村、愛
二動,2,消火器の技術上の規格を定める省令,5_1,Sentence,する消火器をいう。以下同じ。）にあつては二動作以内、車載式の消火器（運搬のための車輪
七四の,2,輸出貿易管理令,1,Sentence,ただし、別表第一の一七四の二の項の次に一七四の三の項を加える改正規定は、昭和四十年七月
〇・一五グ,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,14_1_2_1,Sentence,製造された平面状の吸収材であって、密度が〇・一五グラム毎立方センチメートル以下のもののうち
二三八の,2,核原料物質、核燃料物質及び原子炉の規制に関する法律,2_6,Sentence,料物質」とは、プルトニウム（プルトニウム二三八の同位体濃度が百分の八十を超えるものを除く
六十三か,2,海洋汚染等及び海上災害の防止に関する法律,19_15_3,Sentence,用に係る部分に限る。）並びに第二十五条の六十三から第二十五条の六十六までを除く。）の規定
九〇％,2,関税定率法,,Sentence,定める分留性状の試験方法による減失量加算九〇％留出温度が二〇〇度以下の石油及び歴青油を
四十九番,2,一般国道の指定区間を指定する政令,,Sentence,目四番一から同市魚住町清水字井桶田二千百四十九番一及び姫路市本町二百四十一番を経て兵庫県
二七項,2,関税暫定措置法施行規則,,Sentence,第七二・二四項に該当する半製品、第七二・二七項に該当する物品及び第七二・二八項に該当す
一輪,2,家畜伝染病予防法施行規則,,Sentence,リフト等を使用するとともに、畜舎に重機、一輪車等を持ち込む場合には、畜舎の出入口付近
二三セ,2,船舶設備規程,115_26_2_4_2,Sentence,棒と甲板又はガンネル部の上面との間隔は、二三センチメートル以下であること。
二千葉,2,公職選挙法施行規則,2,Sentence,改正後の公職選挙法施行規則の規定（別表第二千葉県の項の規定を除く。）は、この省令の施行
二五三）,2,海洋汚染等及び海上災害の防止に関する法律施行令,51,Sentence,ロロトリフルオロプロパン（別名ＨＣＦＣ―二五三）
一三分,2,港則法施行令,,Sentence,油見三角点（二三三メートル）（北緯三四度一三分二七秒東経一三二度一二分四二秒）から六五
六五〇メ,2,港湾法施行令,,Sentence,（４）　地蔵埼灯台から二〇九度一五分二、六五〇メートルの地点
〇・〇一マ,2,輸出貿易管理令別表第一及び外国為替令別表の規定に基づき貨物又は技術を定める省令,6_1_19_2,Sentence,使用するために設計したレジストであって、〇・〇一マイクロクーロン毎平方ミリメートル以下の感
〇Ｗ,2,無線局運用規則,1_1,Sentence,氷―大きい氷山を見た。四六〇五Ｎ、四四一〇Ｗ、五月十五日〇八〇〇ＵＴＣ
三十八単,2,保健師助産師看護師学校養成所指定規則,3,Sentence,り、かつ、高等学校における単位数の合計が三十八単位以上及び専攻科における単位数の合計が七
六五セ,2,無線設備規則,54_3_2_6,Sentence,るものを除く。）であつて、空中線の直径が六五センチメートル未満のものの送信空中線から輻
四・六以,2,食品表示基準,,Sentence,ン指数又は水分活性（その水素イオン指数が四・六以下又はその水分活性が〇・九四以下であるも
九田,2,財務省組織規則,1,Sentence,別表第九田島の項、鹿沼の項、氏家の項、館山の項、三
五百五十人,2,公立義務教育諸学校の学級編制及び教職員定数の標準に関する法律,8_2_1_1,Sentence,施校」という。）のうち児童又は生徒の数が五百五十人以上のもの（次号において「五百五十人以上
三十五単,2,専修学校設置基準,18_1,Sentence,科目の授業時数を単位数に換算するときは、三十五単位時間をもつて一単位とする。
九百八十七ミ,2,台風常襲地帯の指定基準に関する政令,1_1,Sentence,令で定める期間において、台風により気圧が九百八十七ミリバール以下となつた地域であつて、当該台
五一二ビ,2,無線設備規則,49_5_1_1_1,Sentence,成されるものであり、その送信速度は、毎秒五一二ビット以上のものであること。
一三一）,2,海洋汚染等及び海上災害の防止に関する法律施行令,28,Sentence,トリクロロフルオロエタン（別名ＨＣＦＣ―一三一）
三十三人,2,農林水産省組織規則,539_1,Sentence,課に、外国漁船対策室並びに漁業監督指導官三十三人、上席漁業監督指導官三人、外国漁船取締企
〇一項,2,関税定率法,,Sentence,１　この表において「毛皮」とは、第四三・〇一項の原毛皮を除くほか、毛が付いている獣皮を
一二項,2,関税定率法,,Sentence,（ｂ）　炭素のハロゲン化酸化物（第二八・一二項参照）
四岐,2,厚生労働省組織規則,1,Sentence,ただし、別表第四岐阜の款関の項管轄区域の欄の改正規定並びに
九四類,2,関税定率法,,Sentence,製品及び木製の小像その他の装飾品並びに第九四類に属しない木製の家具
一五〇パ,2,船舶設備規程,193_1,Sentence,いで、連続定格のものにあつては定格電流の一五〇パーセント以内、短時間定格のものにあつては
三百二十一人,2,公立高等学校の適正配置及び教職員定数の標準等に関する法律施行令,2_1,Sentence,学科について、当該学科の生徒の収容定員が三百二十一人以上であること。
二九、,2,電気通信事業法施行令,,Sentence,目について試験を免除する場合にあつては、二九、〇〇〇円を超えない範囲内において実費を勘
百柵,2,漁業災害補償法施行令,25_1_4,Sentence,六千五百柵
・二五〇未,2,特別交付税に関する省令,3_1_3_1,Sentence,二　四十年間人口減少率が〇・二〇〇以上〇・二五〇未満であり、かつ、令和四年度の財政力指数が
